N°,UBIGEO,ID,CODIGO NODO,REGIÓN,PROVINCIA,DISTRITO,LOCALIDAD,TIPO DE NODO,NODO CON DIVERSIDAD  DE RUTA,LATITUD,LONGITUD
18,803030001,CU-0382,CU-0382-T01,CUSCO,ANTA,CACHIMAYO,CACHIMAYO,NODO DE DISTRIBUCIÓN,NO,-13.52843,-71.957289
19,803040001,CU-0039,CU-0039-T01,CUSCO,ANTA,CHINCHAYPUJIO,CHINCHAYPUJIO,NODO DE DISTRIBUCIÓN,NO,-13.61895,-72.23242
20,803050001,CU-0042,CU-0042-T01,CUSCO,ANTA,HUAROCONDO,HUAROCONDO,NODO DE DISTRIBUCIÓN,NO,-13.41263,-72.209897
21,803060001,CU-0045,CU-0045-T01,CUSCO,ANTA,LIMATAMBO,LIMATAMBO,NODO DE DISTRIBUCIÓN,NO,-13.47906,-72.43921
22,803070001,CU-0050,CU-0050-T01,CUSCO,ANTA,MOLLEPATA,MOLLEPATA,NODO DE DISTRIBUCIÓN,NO,-13.51584,-72.528674
23,803080001,CU-0383,CU-0383-T01,CUSCO,ANTA,PUCYURA,PUCYURA,NODO DE DISTRIBUCIÓN,NO,-13.47875,-72.11639
24,803090001,CU-0384,CU-0384-T01,CUSCO,ANTA,ZURITE,ZURITE,NODO DE DISTRIBUCIÓN,NO,-13.46426,-72.149381
25,804010001,CU-0385,CU-0385-T01,CUSCO,CALCA,CALCA,CALCA,NODO DE AGREGACIÓN,NO,-13.36228,-71.921722
26,804020001,CU-0058,CU-0058-T01,CUSCO,CALCA,COYA,COYA,NODO DE DISTRIBUCIÓN,NO,-13.38538,-71.89883
27,804030001,CU-0386,CU-0386-T01,CUSCO,CALCA,LAMAY,LAMAY,NODO DE DISTRIBUCIÓN,NO,-13.36228,-71.921722
28,804040001,CU-0064,CU-0064-T01,CUSCO,CALCA,LARES,LARES,NODO DE DISTRIBUCIÓN,NO,-13.25943,-71.765225
29,804050001,CU-0387,CU-0387-T01,CUSCO,CALCA,PISAC,PISAC,NODO DE DISTRIBUCIÓN,NO,-13.46151,-72.252314
30,804050008,CU-0069,CU-0069-T01,CUSCO,CALCA,PISAC,CUYO GRANDE,NODO DE CONEXIÓN,NO,-13.39604,-71.800991
31,804060001,CU-0072,CU-0072-T01,CUSCO,CALCA,SAN SALVADOR,SAN SALVADOR,NODO DE DISTRIBUCIÓN,NO,-13.487197,-71.782603
32,804070001,CU-0075,CU-0075-T01,CUSCO,CALCA,TARAY,TARAY,NODO DE DISTRIBUCIÓN,NO,-13.42894,-71.86834
33,804080001,CU-0080,CU-0080-T01,CUSCO,CALCA,YANATILE,QUEBRADA HONDA,NODO DE DISTRIBUCIÓN,NO,-12.67846,-72.27825
34,805010001,CU-0388,CU-0388-T01,CUSCO,CANAS,YANAOCA,YANAOCA,NODO DE AGREGACIÓN,SI,-14.14699,-71.46128
35,805020001,CU-0086,CU-0086-T01,CUSCO,CANAS,CHECCA,CHECCA,NODO DE DISTRIBUCIÓN,SI,-14.472351,-71.398006
36,805030001,CU-0088,CU-0088-T01,CUSCO,CANAS,KUNTURKANKI,EL DESCANSO,NODO DE DISTRIBUCIÓN,SI,-14.53546,-71.304609
37,805040001,CU-0092,CU-0092-T01,CUSCO,CANAS,LANGUI,LANGUI,NODO DE DISTRIBUCIÓN,SI,-14.43268,-71.267887
38,805050001,CU-0093,CU-0093-T01,CUSCO,CANAS,LAYO,LAYO,NODO DE DISTRIBUCIÓN,NO,-14.494948,-71.151314
39,805060001,CU-0389,CU-0389-T01,CUSCO,CANAS,PAMPAMARCA,PAMPAMARCA,NODO DE DISTRIBUCIÓN,SI,-14.14699,-71.46128
40,805070001,CU-0097,CU-0097-T01,CUSCO,CANAS,QUEHUE,QUEHUE,NODO DE DISTRIBUCIÓN,SI,-14.379715,-71.45331
41,805080001,CU-0103,CU-0103-T01,CUSCO,CANAS,TUPAC AMARU,TUNGASUCA,NODO DE DISTRIBUCIÓN,SI,-14.16445,-71.47444
42,806010001,CU-0390,CU-0390-T01,CUSCO,CANCHIS,SICUANI,SICUANI,NODO DE AGREGACIÓN,SI,-14.1999,-71.316246
43,806030001,CU-0108,CU-0108-T01,CUSCO,CANCHIS,COMBAPATA,COMBAPATA,NODO DE DISTRIBUCIÓN,NO,-14.1001,-71.43364
44,806040001,CU-0391,CU-0391-T01,CUSCO,CANCHIS,MARANGANI,MARANGANI,NODO DE DISTRIBUCIÓN,NO,-14.35682,-71.168543
45,806040043,CU-0111,CU-0111-T01,CUSCO,CANCHIS,MARANGANI,HUATAPAMPA,NODO DE CONEXIÓN,NO,-14.41987,-71.11344
46,806050001,CU-0112,CU-0112-T01,CUSCO,CANCHIS,PITUMARCA,PITUMARCA,NODO DE DISTRIBUCIÓN,NO,-13.979187,-71.423406
47,806060001,CU-0392,CU-0392-T01,CUSCO,CANCHIS,SAN PABLO,SAN PABLO,NODO DE DISTRIBUCIÓN,SI,-14.1999,-71.316246
48,806070001,CU-0393,CU-0393-T01,CUSCO,CANCHIS,SAN PEDRO,SAN PEDRO,NODO DE DISTRIBUCIÓN,SI,-14.187507,-71.339212
49,806080001,CU-0394,CU-0394-T01,CUSCO,CANCHIS,TINTA,TINTA,NODO DE DISTRIBUCIÓN,SI,-14.1427,-71.40541
50,807010001,CU-0395,CU-0395-T01,CUSCO,CHUMBIVILCAS,SANTO TOMAS,SANTO TOMAS,NODO DE AGREGACIÓN,SI,-14.33646,-72.113654
51,807010078,CU-0121,CU-0121-T01,CUSCO,CHUMBIVILCAS,SANTO TOMAS,PULPERA,NODO DE CONEXIÓN,NO,-14.6412,-72.016367
52,807020001,CU-0123,CU-0123-T01,CUSCO,CHUMBIVILCAS,CAPACMARCA,CAPACMARCA,NODO DE DISTRIBUCIÓN,SI,-14.0063,-71.99561
53,807030001,CU-0125,CU-0125-T01,CUSCO,CHUMBIVILCAS,CHAMACA,CHAMACA,NODO DE DISTRIBUCIÓN,SI,-14.30142,-71.84659
54,807040001,CU-0132,CU-0132-T01,CUSCO,CHUMBIVILCAS,COLQUEMARCA,COLQUEMARCA,NODO DE DISTRIBUCIÓN,NO,-14.28085,-72.04349
55,807050001,CU-0140,CU-0140-T01,CUSCO,CHUMBIVILCAS,LIVITACA,LIVITACA,NODO DE DISTRIBUCIÓN,SI,-14.31498,-71.689435
56,807060001,CU-0144,CU-0144-T01,CUSCO,CHUMBIVILCAS,LLUSCO,LLUSCO,NODO DE DISTRIBUCIÓN,SI,-14.33646,-72.113654
57,807070001,CU-0150,CU-0150-T01,CUSCO,CHUMBIVILCAS,QUIÑOTA,QUIÑOTA,NODO DE DISTRIBUCIÓN,SI,-14.30887,-72.142523
58,807080001,CU-0152,CU-0152-T01,CUSCO,CHUMBIVILCAS,VELILLE,VELILLE,NODO DE DISTRIBUCIÓN,SI,-14.50528,-71.88651
59,808010001,CU-0396,CU-0396-T01,CUSCO,ESPINAR,ESPINAR,YAURI (ESPINAR),NODO DE AGREGACIÓN,SI,-14.679025,-71.407311
60,808020001,CU-0157,CU-0157-T01,CUSCO,ESPINAR,CONDOROMA,CONDOROMA,NODO DE DISTRIBUCIÓN,NO,-15.29899,-71.13908
61,808030001,CU-0397,CU-0397-T01,CUSCO,ESPINAR,COPORAQUE,COPORAQUE,NODO DE DISTRIBUCIÓN,NO,-14.79759,-71.531071
62,808040001,CU-0158,CU-0158-T01,CUSCO,ESPINAR,OCORURO,OCORURO,NODO DE DISTRIBUCIÓN,NO,-15.05753,-71.125922
63,808050001,CU-0159,CU-0159-T01,CUSCO,ESPINAR,PALLPATA,HECTOR TEJADA,NODO DE DISTRIBUCIÓN,NO,-14.89313,-71.207087
64,808060001,CU-0160,CU-0160-T01,CUSCO,ESPINAR,PICHIGUA,PICHIGUA,NODO DE DISTRIBUCIÓN,SI,-14.679025,-71.407311
65,808070001,CU-0163,CU-0163-T01,CUSCO,ESPINAR,SUYCKUTAMBO,VIRGINIYOC,NODO DE DISTRIBUCIÓN,NO,-15.00828,-71.64415
66,808080001,CU-0165,CU-0165-T01,CUSCO,ESPINAR,ALTO PICHIGUA,ACCOCUNCA,NODO DE DISTRIBUCIÓN,SI,-14.7785,-71.25226
67,809010001,CU-0398,CU-0398-T01,CUSCO,LA CONVENCIÓN,SANTA ANA,QUILLABAMBA,NODO DE AGREGACIÓN,NO,-12.76634,-72.57885
68,809020001,CU-0172,CU-0172-T01,CUSCO,LA CONVENCIÓN,ECHARATE,ECHARATE,NODO DE DISTRIBUCIÓN,NO,-12.76634,-72.57885
69,809020120,CU-0177,CU-0177-T01,CUSCO,LA CONVENCIÓN,ECHARATE,KITENI,NODO DE CONEXIÓN,NO,-12.64656,-73.04989
70,809020172,CU-0178,CU-0178-T01,CUSCO,LA CONVENCIÓN,ECHARATE,PALMA REAL,NODO DE CONEXIÓN,NO,-12.62559,-72.69434
71,809030001,CU-0181,CU-0181-T01,CUSCO,LA CONVENCIÓN,HUAYOPATA,HUYRO,NODO DE DISTRIBUCIÓN,NO,-13.004876,-72.554523
72,809040001,CU-0183,CU-0183-T01,CUSCO,LA CONVENCIÓN,MARANURA,MARANURA,NODO DE DISTRIBUCIÓN,NO,-12.96242,-72.66449
73,809050001,CU-0188,CU-0188-T01,CUSCO,LA CONVENCIÓN,OCOBAMBA,KQUELCCAYBAMBA,NODO DE DISTRIBUCIÓN,NO,-12.869067,-72.446837
74,809060001,CU-0190,CU-0190-T01,CUSCO,LA CONVENCIÓN,QUELLOUNO,QUELLOUNO,NODO DE DISTRIBUCIÓN,NO,-12.637904,-72.56046
75,809070001,CU-0197,CU-0197-T01,CUSCO,LA CONVENCIÓN,KIMBIRI,KIMBIRI,NODO DE DISTRIBUCIÓN,NO,-12.61414,-73.79576
76,809070045,CU-0206,CU-0206-T01,CUSCO,LA CONVENCIÓN,KIMBIRI,LOBO TAHUANTINSUYO,NODO DE CONEXIÓN,NO,-12.79709,-73.61949
77,809080001,CU-0213,CU-0213-T01,CUSCO,LA CONVENCIÓN,SANTA TERESA,SANTA TERESA,NODO DE DISTRIBUCIÓN,NO,-13.13139,-72.59598
78,809090001,CU-0214,CU-0214-T01,CUSCO,LA CONVENCIÓN,VILCABAMBA,LUCMA,NODO DE DISTRIBUCIÓN,NO,-13.062512,-72.933165
79,809120001,CU-0215,CU-0215-T01,CUSCO,LA CONVENCIÓN,VILLA VIRGEN,VILLA VIRGEN,NODO DE DISTRIBUCIÓN,NO,-13.00425,-73.514139
80,809100001,CU-0217,CU-0217-T01,CUSCO,LA CONVENCIÓN,PICHARI,PICHARI,NODO DE DISTRIBUCIÓN,NO,-12.5215,-73.82047
81,809100047,CU-0226,CU-0226-T01,CUSCO,LA CONVENCIÓN,PICHARI,JATUN RUMI,NODO DE CONEXIÓN,NO,-12.5205,-73.84437
82,810010001,CU-0399,CU-0399-T01,CUSCO,PARURO,PARURO,PARURO,NODO DE AGREGACIÓN,SI,-13.66326,-71.92114
83,810020001,CU-0232,CU-0232-T01,CUSCO,PARURO,ACCHA,ACCHA,NODO DE DISTRIBUCIÓN,NO,-13.97659,-71.82962
84,810030001,CU-0236,CU-0236-T01,CUSCO,PARURO,CCAPI,CCAPI,NODO DE DISTRIBUCIÓN,SI,-13.85507,-72.07947
85,810040001,CU-0238,CU-0238-T01,CUSCO,PARURO,COLCHA,COLCHA,NODO DE DISTRIBUCIÓN,SI,-13.85163,-71.80392
86,810050001,CU-0240,CU-0240-T01,CUSCO,PARURO,HUANOQUITE,HUANOQUITE,NODO DE DISTRIBUCIÓN,SI,-13.68327,-72.01653
87,810060001,CU-0244,CU-0244-T01,CUSCO,PARURO,OMACHA,OMACHA,NODO DE DISTRIBUCIÓN,NO,-14.07006,-71.737741
88,810070001,CU-0250,CU-0250-T01,CUSCO,PARURO,PACCARITAMBO,PACCARITAMBO,NODO DE DISTRIBUCIÓN,NO,-13.75513,-71.95273
89,810080001,CU-0251,CU-0251-T01,CUSCO,PARURO,PILLPINTO,PILLPINTO,NODO DE DISTRIBUCIÓN,NO,-13.95274,-71.76295
90,810090001,CU-0253,CU-0253-T01,CUSCO,PARURO,YAURISQUE,YAURISQUE,NODO DE DISTRIBUCIÓN,SI,-13.66326,-71.92114
91,811010001,CU-0400,CU-0400-T01,CUSCO,PAUCARTAMBO,PAUCARTAMBO,PAUCARTAMBO,NODO DE AGREGACIÓN,NO,-13.35926,-71.672796
92,811020001,CU-0401,CU-0401-T01,CUSCO,PAUCARTAMBO,CAICAY,CAICAY,NODO DE DISTRIBUCIÓN,NO,-13.593888,-71.699531
93,811030001,CU-0258,CU-0258-T01,CUSCO,PAUCARTAMBO,CHALLABAMBA,CHALLABAMBA,NODO DE DISTRIBUCIÓN,NO,-13.21473,-71.646513
94,811040001,CU-0264,CU-0264-T01,CUSCO,PAUCARTAMBO,COLQUEPATA,COLQUEPATA,NODO DE DISTRIBUCIÓN,NO,-13.35926,-71.672796
95,811050001,CU-0275,CU-0275-T01,CUSCO,PAUCARTAMBO,HUANCARANI,HUANCARANI,NODO DE DISTRIBUCIÓN,NO,-13.50505,-71.65267
96,811060001,CU-0285,CU-0285-T01,CUSCO,PAUCARTAMBO,KOSÑIPATA,PILLCOPATA,NODO DE DISTRIBUCIÓN,NO,-12.91722,-71.40496
97,812010001,CU-0402,CU-0402-T01,CUSCO,QUISPICANCHI,URCOS,URCOS,NODO DE AGREGACIÓN,NO,-13.820555,-71.541092
98,812020001,CU-0403,CU-0403-T01,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,ANDAHUAYLILLAS,NODO DE DISTRIBUCIÓN,NO,-13.67482,-71.669717
99,812030001,CU-0291,CU-0291-T01,CUSCO,QUISPICANCHI,CAMANTI,QUINCEMIL,NODO DE DISTRIBUCIÓN,NO,-13.23136,-70.759451
100,812040001,CU-0292,CU-0292-T01,CUSCO,QUISPICANCHI,CCARHUAYO,CCARHUAYO,NODO DE DISTRIBUCIÓN,NO,-13.598823,-71.399613
101,812050001,CU-0293,CU-0293-T01,CUSCO,QUISPICANCHI,CCATCA,CCATCA,NODO DE DISTRIBUCIÓN,NO,-13.60586,-71.561941
102,812060001,CU-0404,CU-0404-T01,CUSCO,QUISPICANCHI,CUSIPATA,CUSIPATA,NODO DE DISTRIBUCIÓN,NO,-13.899517,-71.503743
103,812070001,CU-0305,CU-0305-T01,CUSCO,QUISPICANCHI,HUARO,HUARO,NODO DE DISTRIBUCIÓN,NO,-13.6891,-71.63662
104,812080001,CU-0306,CU-0306-T01,CUSCO,QUISPICANCHI,LUCRE,LUCRE,NODO DE DISTRIBUCIÓN,NO,-13.63427,-71.738378
105,812090001,CU-0307,CU-0307-T01,CUSCO,QUISPICANCHI,MARCAPATA,MARCAPATA,NODO DE DISTRIBUCIÓN,NO,-13.59066,-70.97629
106,812100001,CU-0308,CU-0308-T01,CUSCO,QUISPICANCHI,OCONGATE,OCONGATE,NODO DE DISTRIBUCIÓN,NO,-13.638107,-71.37966
107,812110001,CU-0405,CU-0405-T01,CUSCO,QUISPICANCHI,OROPESA,OROPESA,NODO DE DISTRIBUCIÓN,NO,-13.59856,-71.76093
108,812120001,CU-0324,CU-0324-T01,CUSCO,QUISPICANCHI,QUIQUIJANA,QUIQUIJANA,NODO DE DISTRIBUCIÓN,NO,-13.820555,-71.541092
109,813010001,CU-0406,CU-0406-T01,CUSCO,URUBAMBA,URUBAMBA,URUBAMBA,NODO DE AGREGACIÓN,NO,-13.25122,-72.27749
110,813020001,CU-0407,CU-0407-T01,CUSCO,URUBAMBA,CHINCHERO,CHINCHERO,NODO DE DISTRIBUCIÓN,NO,-13.39815,-72.0496
111,813030001,CU-0332,CU-0332-T01,CUSCO,URUBAMBA,HUAYLLABAMBA,HUAYLLABAMBA,NODO DE DISTRIBUCIÓN,NO,-13.33712,-72.063674
112,809130001,CU-0471,CU-0471-T01,CUSCO,LA CONVENCIÓN,VILLA KINTIARINA,VILLA KINTIARINA,NODO DE DISTRIBUCIÓN,NO,-12.90635,-73.517635
113,813050001,CU-0335,CU-0335-T01,CUSCO,URUBAMBA,MARAS,MARAS,NODO DE DISTRIBUCIÓN,NO,-13.3344,-72.15951
114,813060001,CU-0409,CU-0409-T01,CUSCO,URUBAMBA,OLLANTAYTAMBO,OLLANTAYTAMBO,NODO DE DISTRIBUCIÓN,NO,-13.25122,-72.27749
115,813070001,CU-0410,CU-0410-T01,CUSCO,URUBAMBA,YUCAY,YUCAY,NODO DE DISTRIBUCIÓN,NO,-13.32426,-72.079513
