ID;Estado;Antigüedad;Tipo_de_Casa;Tiempo;Edad;Estado_Civil;Registro;Tipo_Trabajo;Gastos;Ingresos;Activos;Deuda;Monto;Precio
74;1;8;2;36;31;2;2;3;75;411;9000;4000;800;1593
75;1;5;2;24;43;2;1;1;75;93;3000;0;700;1735
76;1;19;1;60;38;2;1;1;86;108;0;0;1000;1132
77;1;14;2;12;37;2;1;3;90;500;4000;0;500;1338
78;1;0;6;36;46;2;2;4;45;45;0;0;900;1100
79;1;9;1;36;55;2;1;1;70;250;30000;0;1750;2276
80;1;29;2;48;56;2;1;1;45;100;3000;0;900;1360
81;1;10;2;36;55;2;1;1;60;70;4000;0;1000;1436
82;1;10;5;36;52;2;1;1;60;150;0;0;550;612
83;2;1;2;36;29;2;1;1;60;70;4500;0;850;1100
84;1;11;2;60;39;5;2;1;35;263;2500;0;1000;1300
85;1;10;2;60;38;2;1;3;75;200;9000;0;1000;2089
86;1;5;2;24;24;1;1;1;35;78;6000;3000;500;2262
87;1;10;1;60;28;1;1;1;47;120;0;0;600;1054
88;1;27;2;60;53;2;1;1;60;125;10000;0;1426;1426
89;2;0;1;60;25;1;1;2;40;50;0;0;1040;1048
90;2;25;1;60;62;2;1;1;60;146;0;0;1000;1292
91;1;3;5;60;29;1;1;1;35;70;0;0;950;1177
92;2;9;5;60;32;1;2;1;35;105;0;0;1490;1490
93;1;4;1;36;21;2;1;3;101;413;6000;0;750;850
94;1;6;1;36;38;2;1;3;95;500;25000;21400;800;1011
95;1;9;1;48;56;2;1;3;140;350;0;0;1400;1571
96;1;3;2;36;41;2;1;3;75;200;3000;0;1000;1000
97;2;22;6;36;46;2;1;1;45;138;0;0;250;270
98;1;3;2;60;54;3;1;4;35;80;4000;0;950;1382
99;1;30;2;36;51;2;1;3;120;208;15000;0;1500;1713
100;1;8;1;60;52;2;1;1;89;137;4000;0;800;1086
101;1;38;2;48;57;2;1;3;45;58;12000;0;1500;3262
102;1;2;1;60;33;2;1;1;73;130;0;0;1100;1610
103;1;4;2;60;33;2;1;1;75;123;6000;1000;600;1030
104;2;0;1;36;29;2;1;2;78;180;0;0;650;650
105;2;2;6;48;23;1;1;1;35;140;0;0;1950;2175
106;1;8;2;24;33;2;1;1;75;315;4500;0;400;1780
107;2;1;1;36;24;2;1;2;76;164;0;0;900;950
108;2;6;5;60;28;2;1;3;90;325;7000;0;1200;1211
109;1;5;2;60;27;2;1;1;45;135;5000;1400;1600;1650
110;2;13;5;36;33;1;1;1;35;109;0;0;350;350
111;1;11;1;60;32;2;1;1;79;185;0;0;950;1117
112;1;10;2;24;39;2;1;1;45;217;9000;3000;1500;2468
113;2;20;2;60;51;2;1;3;90;300;12500;2500;1340;1740
114;2;0;2;36;39;1;1;3;35;0;4000;0;1000;1210
115;1;13;2;48;29;2;1;1;60;253;3000;0;670;963
116;2;2;2;36;32;2;1;1;75;101;1500;400;1200;1646
117;2;3;2;36;40;2;2;3;35;200;10000;0;800;800
118;1;12;2;36;47;2;1;1;75;124;3500;0;460;470
119;1;20;2;24;66;2;1;1;45;143;10000;0;950;1370
120;1;3;3;48;39;4;1;3;35;250;4000;1500;700;839
121;1;27;2;60;50;2;1;1;75;135;5500;1000;600;1346
122;1;4;1;60;25;2;1;1;57;115;0;0;900;1350
123;2;1;2;60;27;2;1;2;75;160;4000;3000;1800;2100
124;1;18;1;60;54;2;1;1;66;214;0;0;1300;1307
125;1;12;1;60;42;2;1;1;114;390;0;0;1100;1126
126;1;12;2;48;35;4;1;3;45;500;200000;0;2380;4786
127;2;0;5;60;23;1;1;2;35;95;0;0;1400;1478
128;1;12;2;60;52;2;1;1;75;200;12000;0;1550;1568
129;1;0;5;24;22;1;1;2;35;85;0;0;650;1056
130;1;10;6;18;48;2;1;1;90;214;0;0;1000;1608
131;1;2;2;60;25;2;1;1;75;140;3000;0;950;1179
132;2;10;6;60;26;2;1;1;45;60;0;0;1400;1524
133;1;8;2;60;28;2;1;1;75;180;4000;0;1300;1730
134;1;20;2;30;62;2;1;3;60;300;24000;9000;600;823
135;1;0;1;60;33;2;1;3;65;200;0;0;700;800
136;1;16;5;60;41;2;1;1;75;242;0;0;1300;1482
137;1;4;2;60;29;2;1;2;60;155;5000;2500;900;1110
138;2;1;1;60;37;1;1;1;45;100;0;0;1150;1555
139;1;0;2;60;31;2;1;1;60;105;3500;0;1100;1170
140;1;15;2;12;50;2;1;3;45;166;2000;0;500;886
141;2;13;1;60;42;4;2;1;47;120;0;0;800;1395
142;1;19;2;36;33;2;1;1;60;115;6700;2000;1000;2084
143;1;15;2;24;54;2;1;3;90;350;150000;0;3800;8800
144;1;40;2;36;58;2;1;3;75;0;50000;0;1000;1160
145;1;9;1;60;40;2;1;1;119;442;6000;1947;900;1211
146;2;12;5;60;31;4;2;1;35;101;0;0;1300;1300
147;2;0;2;36;35;2;2;1;105;122;5200;2000;850;850
148;1;14;2;60;64;2;1;3;60;250;10000;0;700;1204
149;1;10;5;24;29;1;1;3;35;90;0;0;600;1528
150;1;2;2;48;33;2;1;1;45;160;6000;0;1200;1298
151;1;15;2;18;35;2;1;3;60;300;4000;0;300;600
152;2;1;5;48;28;1;1;1;35;83;0;0;1000;1320
153;1;27;2;60;59;2;1;3;45;0;11000;0;1100;1300
154;2;0;6;60;25;2;1;2;60;60;0;0;1300;1380
155;2;0;5;60;23;1;1;2;35;205;0;0;1400;1426
156;1;3;2;24;30;2;1;3;75;133;12000;900;1500;5200
157;1;8;1;36;36;2;1;1;78;179;0;0;900;1503
158;1;3;2;48;25;1;1;3;35;0;4000;0;1200;1449
159;1;5;6;60;22;1;1;1;45;195;0;0;700;1422
160;1;9;2;24;45;2;1;1;75;112;4000;0;500;1430
161;1;4;2;30;47;2;1;3;90;210;15000;0;1550;1578
162;1;14;3;48;36;2;1;1;75;155;3500;200;1100;1250
163;1;3;2;36;36;1;2;3;35;394;16000;0;1500;2260
164;1;22;1;36;60;2;1;1;60;149;0;0;200;280
165;1;20;1;48;59;2;1;1;57;120;0;0;800;1298
166;2;6;2;48;58;2;2;3;60;400;86000;0;930;945
167;1;23;2;12;37;2;1;1;45;165;5000;0;900;1694
168;2;5;2;36;32;2;1;3;75;125;6000;0;600;700
169;1;8;1;48;26;1;1;1;42;74;0;0;600;1290
170;1;5;2;60;40;2;1;1;75;86;4900;0;1300;1581
171;1;20;2;48;55;2;1;1;45;185;5000;0;1000;1383
172;1;11;1;60;30;2;1;1;77;165;0;0;1350;1637
173;1;25;5;54;43;2;1;1;75;110;7000;0;1275;1275
174;2;2;1;60;28;2;1;1;74;138;0;0;1400;1400
175;1;20;2;24;47;2;1;3;75;300;5000;0;600;832
176;1;9;2;36;29;1;1;1;35;147;3500;0;1886;2886
177;2;0;1;60;48;4;2;3;35;0;25300;15500;1200;1257
178;1;18;5;60;34;2;1;1;60;112;6550;0;600;1346
179;1;20;2;60;53;2;2;3;75;350;6500;0;800;1138
180;1;6;2;12;44;2;1;1;45;110;15000;0;300;1801
181;2;0;2;48;49;2;1;2;45;75;2000;0;900;1200
182;1;0;1;36;51;2;1;1;113;230;0;0;950;950
183;1;14;4;60;34;2;1;1;75;85;8000;0;1400;1589
184;1;10;2;48;42;2;1;3;75;210;4000;120;1200;1617
185;1;19;2;60;34;2;1;1;75;125;5000;0;1200;1200
186;1;11;2;60;46;2;1;1;75;149;3500;0;1400;2194
187;1;1;2;48;31;2;1;1;75;201;2500;96;1100;1642
188;2;13;6;60;31;2;1;1;60;105;0;0;1200;1423
189;1;4;1;12;33;2;1;1;78;183;0;0;600;1600
190;2;9;1;24;30;1;2;1;46;113;0;0;700;700
191;1;1;2;24;27;2;1;1;45;126;3000;3700;200;300
192;1;4;2;36;48;2;1;3;120;300;5000;0;1000;1165
193;1;2;2;60;33;2;1;1;75;160;6000;0;1000;1365
194;1;2;2;12;44;2;1;1;90;160;7500;0;500;1706
195;2;0;6;36;48;2;2;3;45;0;0;0;1600;2053
196;1;21;2;60;57;2;1;3;60;95;8000;0;1000;1700
197;1;12;2;60;34;2;2;1;75;125;5500;4000;950;1462
198;1;9;1;60;38;2;1;1;87;120;0;0;1177;1300
199;1;2;1;36;35;2;1;1;126;359;0;0;870;1122
200;1;24;2;60;52;2;1;1;45;80;4000;0;1200;1257
201;1;1;5;60;28;1;1;2;35;67;0;0;1050;1387
202;1;15;2;48;46;2;1;1;90;148;12000;0;1000;1266
203;1;19;2;60;56;2;2;1;45;298;8000;0;1700;2195
204;1;10;2;24;52;2;1;1;75;318;4500;700;700;2004
205;1;19;2;60;35;2;1;1;75;185;4000;0;1100;1203
206;1;10;2;36;45;2;2;3;60;0;9500;250;750;1138
207;1;4;5;48;29;2;1;1;45;194;0;0;1200;1374
208;2;1;5;60;22;1;1;1;35;80;3000;0;1500;1514
209;1;2;2;24;33;2;2;1;75;147;2000;900;400;750
210;1;5;2;24;41;2;1;3;105;156;10000;0;800;1894
211;1;11;2;36;37;2;1;1;75;178;3000;0;1000;1048
212;1;23;2;24;46;2;1;1;75;130;4000;0;400;1369
213;2;4;6;36;19;1;1;2;35;63;0;0;1000;1035
214;2;5;5;36;22;1;1;1;35;88;0;0;750;1218
215;1;15;5;60;31;2;1;1;45;140;0;0;1200;1637
216;2;1;3;60;44;2;1;2;45;115;2000;0;750;953
217;1;9;2;60;48;2;2;1;60;83;2500;0;1100;1212
218;1;4;3;36;31;2;1;1;60;144;3000;0;1000;1218
219;1;20;2;24;53;2;1;3;45;200;100000;0;1000;1419
220;1;10;6;60;36;2;1;1;90;172;3000;0;1100;1100
221;1;2;3;60;46;2;1;3;105;200;4000;500;900;987
222;1;15;2;60;37;2;1;1;60;318;7000;0;1900;2400
223;1;8;2;60;34;2;1;1;60;177;6300;4000;1370;1375
224;1;4;2;48;36;2;1;1;60;133;4000;0;1000;1595
225;1;4;2;60;64;1;1;4;35;150;9000;0;984;1054
226;1;1;2;36;27;1;1;1;35;208;9000;0;1000;1651
227;1;10;2;30;26;2;1;1;75;145;1434;0;300;1542
228;1;32;2;60;53;2;1;1;60;157;5000;0;2000;2014
229;1;12;2;60;50;2;1;1;45;190;9500;200;1800;2624
230;2;0;5;60;21;1;1;2;35;86;0;0;1000;1135
231;1;20;5;24;40;1;1;1;35;90;0;0;600;1105
232;1;6;1;60;49;2;2;2;100;100;30000;0;1500;1500
233;2;4;1;24;40;2;2;1;56;214;0;0;800;1200
234;1;1;1;60;37;1;1;1;45;100;0;0;1150;1555
235;1;2;1;48;25;2;1;1;57;117;0;0;800;2251
236;1;25;2;18;40;2;1;1;45;110;4000;0;455;1542
237;1;1;1;36;22;2;1;1;62;168;0;0;1200;2186
238;1;10;2;48;49;2;1;3;45;150;9000;0;1700;1700
239;1;2;2;60;34;2;1;1;45;166;7000;0;600;1180
240;1;3;0;24;42;1;1;1;35;337;99999999;99999999;1300;1624
241;2;13;1;24;49;2;1;3;90;0;0;0;700;800
242;2;10;1;60;43;2;1;3;90;0;0;0;1350;1668
243;1;20;2;36;42;2;1;3;90;250;4500;0;1500;1750
244;1;10;2;48;28;2;2;2;60;120;2500;1500;600;875
245;1;1;2;60;30;2;1;3;35;236;3500;1000;1000;1514
246;2;1;2;60;25;4;2;2;45;277;6000;3500;1700;1950
247;2;0;5;60;22;1;1;2;35;55;0;0;950;1462
248;1;5;5;36;27;1;1;1;35;200;4000;0;600;1098
249;1;3;5;60;26;1;1;1;45;235;0;0;800;840
250;2;0;2;48;28;2;1;1;45;80;1500;0;1260;1634
251;1;6;2;48;35;2;1;3;45;200;7000;0;1540;1603
252;1;21;3;60;51;2;1;1;45;140;3000;0;1200;1200
253;1;5;1;60;24;2;1;1;73;125;0;0;700;1360
254;1;12;1;60;34;2;1;1;94;185;0;0;1200;1236
255;1;13;2;42;34;2;1;1;105;190;2500;300;1100;1395
256;1;10;2;60;49;2;1;3;60;150;23000;0;1200;1390
257;1;6;2;60;28;2;1;1;60;102;5000;0;700;1355
258;1;18;1;60;57;2;1;1;77;170;4000;0;1300;1604
259;1;15;2;60;63;2;1;1;60;315;3500;266;1000;1241
260;2;0;1;12;37;2;1;4;88;130;0;0;250;375
261;1;2;2;36;27;2;1;1;45;156;6000;0;700;1045
262;1;18;1;60;39;2;1;1;93;177;0;0;800;1781
263;1;12;2;36;64;1;2;3;60;341;4500;0;900;900
264;1;25;2;48;49;2;1;3;105;240;12000;4200;1660;1698
265;1;8;2;12;49;2;1;3;60;142;6000;0;200;1048
266;1;20;2;36;45;2;1;3;75;333;5000;0;1000;2200
267;1;3;5;60;27;1;1;1;35;125;5000;0;770;1119
268;1;2;5;36;30;2;1;1;45;170;0;0;700;1090
269;2;2;2;36;33;2;1;3;75;220;16000;500;3000;4100
270;1;15;2;36;40;2;1;1;60;230;8500;480;700;1400
271;1;3;2;60;30;4;1;1;60;157;15000;0;1000;2010
272;1;4;5;12;30;2;1;1;60;340;16000;0;1900;2014
273;1;3;2;60;25;2;1;2;60;120;3500;200;1000;1342
274;1;9;1;60;40;1;1;1;44;91;0;0;1000;1132
275;2;4;3;42;50;2;1;3;60;150;7000;0;900;1048
276;1;2;2;36;23;1;1;1;35;88;5500;0;750;1218
277;1;1;6;48;28;1;1;2;35;120;0;0;900;1114
278;2;2;1;60;35;2;2;3;75;0;0;0;1000;1206
279;1;2;1;60;27;2;1;1;56;106;0;0;650;2132
280;1;2;5;36;19;2;1;1;35;162;4000;100;400;570
281;1;3;5;60;39;2;1;1;45;77;0;0;1000;1094
282;1;8;3;36;39;2;1;1;75;128;2500;0;550;550
283;1;10;2;48;55;3;1;1;35;189;9000;0;1200;1255
284;1;10;2;36;32;2;1;3;60;300;40000;3000;2000;4138
285;1;5;2;60;54;2;1;3;60;92;6000;1700;1700;1714
286;1;20;2;48;58;2;1;3;60;380;35000;0;1100;1150
287;1;5;2;24;37;2;1;3;75;500;14000;0;1500;2673
288;1;20;5;60;36;2;1;3;60;130;0;0;1200;1630
289;1;12;2;60;28;2;1;1;45;141;6000;400;1100;1544
290;1;13;2;60;38;2;1;1;75;220;6500;3600;1000;1195
291;1;11;2;36;26;2;1;1;60;146;5000;1300;400;1206
292;1;17;2;60;41;2;1;3;75;250;13500;3700;1400;2050
293;1;6;2;36;42;2;1;1;60;132;6000;0;1200;1513
294;1;22;2;6;46;2;1;3;90;150;75000;0;3000;3300
295;1;25;1;60;52;2;1;1;73;127;0;0;1030;1250
296;2;8;2;60;30;2;1;2;60;90;3000;500;1000;1339
297;2;19;2;60;47;2;2;3;90;166;12500;1000;875;875
298;1;3;2;18;66;2;1;4;45;69;12000;0;500;1101
299;1;35;2;60;54;2;1;1;45;182;4000;0;1000;1568
300;1;0;2;42;65;2;1;4;45;77;4000;2000;750;1194
301;2;7;6;60;25;2;1;1;45;50;0;0;950;1378
302;1;3;2;60;31;1;1;1;35;131;4000;0;1050;1139
303;1;1;5;24;23;1;1;1;35;62;0;0;350;350
304;2;5;2;60;35;2;1;1;75;60;3000;400;1150;1406
305;1;2;2;60;47;2;1;1;90;86;4500;0;1200;1497
306;2;13;1;36;28;2;1;1;59;143;0;0;1400;1600
307;2;27;1;60;50;2;2;1;87;120;0;0;1300;1350
308;2;3;6;60;25;1;1;1;35;283;0;0;2000;2032
309;1;0;2;36;39;2;1;1;60;138;3000;0;1400;2610
310;1;1;3;12;46;2;1;4;90;90;2000;600;500;1193
311;2;1;1;60;36;2;2;1;85;99;0;0;1200;1275
312;2;10;2;36;39;2;2;3;75;160;15000;0;3250;3750
313;1;1;2;60;25;2;1;2;60;330;9000;3500;1300;2500
314;1;6;2;36;49;2;1;3;60;100;22000;0;1000;1790
315;2;3;1;48;52;2;1;1;96;210;0;0;1400;1419
316;1;10;1;30;34;4;1;1;45;100;0;0;700;1480
317;1;0;2;36;24;1;1;2;45;97;8000;0;600;1542
318;2;1;1;60;38;2;1;3;45;0;0;0;1500;1850
319;1;6;2;48;24;2;1;1;45;227;3000;0;600;1380
320;1;5;2;42;33;2;2;1;45;140;22000;2500;1200;1888
321;2;1;1;48;31;2;1;1;87;115;0;0;1100;1672
322;1;37;2;48;63;2;1;1;60;150;3500;0;700;808
323;2;1;5;60;23;1;1;1;35;90;0;0;1100;1107
324;1;40;2;42;61;2;1;1;90;275;12000;0;1000;1335
325;1;5;5;60;28;1;1;1;35;176;0;0;1190;1390
326;1;11;1;60;58;2;1;1;71;110;3000;0;1150;1363
327;1;23;2;60;41;2;1;1;75;140;3000;0;1450;1482
328;1;23;2;60;38;2;1;1;45;500;3500;0;1900;2357
329;2;5;2;60;27;2;1;1;75;66;3000;0;600;850
330;1;10;2;60;55;2;1;3;60;0;10000;0;1000;1180
331;1;5;2;48;40;2;1;3;75;145;6000;0;825;1617
332;1;31;2;60;59;2;1;1;60;67;6500;0;1080;1114
333;2;4;2;60;47;2;1;3;75;0;13500;0;1900;1976
334;2;10;2;60;38;2;2;1;90;80;3000;1749;1030;1095
335;1;0;5;60;25;1;1;3;35;0;0;0;800;1380
336;1;8;6;60;28;2;1;1;45;200;0;0;700;1529
337;1;2;2;36;49;2;2;3;75;154;14000;0;850;1263
338;1;3;3;48;38;2;1;3;90;187;2500;750;1550;1600
339;2;35;2;48;52;2;1;1;60;135;5000;0;1200;1400
340;1;3;2;48;37;3;1;1;45;160;6000;3000;1000;1520
341;1;25;2;60;42;2;1;1;60;133;9500;0;1500;1617
342;1;8;1;60;54;2;1;3;173;230;5000;0;1100;1500
343;1;2;2;60;30;2;1;1;60;154;3000;0;1000;1705
344;1;2;2;30;26;2;1;1;60;50;3500;250;600;1292
345;1;17;2;48;49;2;1;3;60;189;7000;0;1100;1294
346;1;3;2;60;36;2;1;1;60;202;4600;1260;1400;1936
347;2;4;5;48;40;2;1;3;90;20;0;0;1850;2143
348;2;0;2;12;61;2;1;4;60;40;4000;0;170;1394
349;2;2;1;24;59;2;1;1;110;50;0;0;200;425
350;1;2;2;48;49;2;1;1;45;125;4000;0;500;1600
351;1;30;1;60;52;2;1;3;70;100;14500;0;1250;1563
352;1;11;2;60;35;2;1;1;60;115;4000;75;1250;1284
353;2;5;4;60;25;2;1;1;75;160;1000;0;890;990
354;1;14;2;60;30;2;1;1;60;70;4000;2800;600;1125
355;1;8;2;48;28;2;1;1;35;220;4000;0;1000;1267
356;2;1;6;60;42;2;2;3;45;0;0;0;1600;1780
357;1;1;2;6;29;1;1;3;35;107;2000;0;300;1298
358;2;6;2;60;32;2;1;1;75;160;2200;600;1550;1600
359;1;9;2;60;45;2;1;1;75;150;3000;0;1100;1340
360;1;0;2;60;52;2;1;2;45;0;10000;0;750;1244
361;2;3;2;60;26;2;1;2;45;120;6100;1500;1000;1403
362;1;3;2;60;33;2;2;3;75;225;2000;0;1400;1980
363;1;1;5;60;21;1;1;3;35;100;0;0;900;1290
364;2;0;2;36;34;2;1;2;75;80;4500;300;600;1339
365;1;6;2;60;27;1;1;1;35;208;6000;3300;1500;1559
366;2;21;2;60;44;2;1;1;90;105;1150;720;200;1078
367;1;17;2;60;51;2;1;1;60;98;4000;0;860;1113
368;1;7;1;18;33;2;1;1;113;532;0;0;1000;2290
369;1;10;2;60;35;2;1;1;60;140;4000;0;1000;1578
370;1;2;2;48;38;2;1;1;75;90;7000;2000;500;1039
371;1;0;1;60;28;2;1;1;76;155;0;0;800;1218
372;1;2;2;60;26;2;1;1;45;120;3500;0;300;1329
373;1;10;2;36;34;2;1;1;90;159;3000;250;300;500
374;1;6;2;60;27;2;1;1;45;122;2000;1000;1300;1384
375;2;7;2;60;32;2;1;2;75;156;3500;0;1300;1553
376;1;18;2;48;43;1;1;1;35;90;2500;0;1000;1626
377;1;3;2;18;30;1;1;2;35;130;5000;0;1100;1674
378;1;6;2;18;42;2;1;3;90;45;4000;34;200;1500
379;1;0;1;36;26;2;1;2;72;118;1000;0;600;1421
380;2;0;2;24;20;1;1;4;60;152;2000;0;400;480
381;1;8;1;48;24;1;1;1;49;135;0;0;1000;1274
382;1;4;1;48;27;2;1;1;58;125;0;0;1200;1580
383;1;1;1;36;35;2;1;3;66;208;4000;0;1000;1300
384;2;1;5;48;18;1;1;2;35;81;0;0;1150;1314
385;1;3;2;24;35;2;1;1;75;160;1800;0;200;957
386;1;10;1;60;33;2;1;3;75;300;2700;0;1000;1500
387;1;8;3;36;39;2;1;1;60;135;4000;1500;1300;1504
388;1;20;5;60;36;2;1;1;60;121;0;0;850;935
389;1;3;5;48;29;1;1;1;35;145;0;0;1000;1028
390;2;1;5;48;23;1;1;1;35;165;0;0;1300;1440
391;1;19;2;12;34;2;1;3;75;428;32000;0;500;1030
392;1;2;1;48;57;2;1;4;68;233;0;0;1200;1366
393;2;11;2;60;38;2;2;1;90;245;4000;0;1700;1768
394;2;1;2;36;52;2;2;3;60;99999999;100000;20000;1500;2340
395;2;1;2;48;42;2;2;3;75;200;9000;4500;1400;1700
396;1;15;2;60;44;2;1;3;60;42;10000;0;910;1450
397;1;10;2;48;37;5;1;1;35;87;3500;450;500;1155
398;2;1;3;48;34;2;2;3;45;200;3000;1500;1000;1191
399;1;25;2;12;43;2;1;3;75;250;100000;0;600;841
400;2;4;1;60;42;5;2;1;70;350;0;0;2200;2441
401;2;0;6;48;24;2;1;1;60;105;0;0;1200;1516
402;1;1;2;60;36;1;1;3;60;100;4500;1500;400;1591
403;2;2;5;60;52;2;2;3;75;160;5000;0;1350;1999
404;1;16;5;60;34;1;1;3;35;0;12000;0;1200;1336
405;2;0;1;36;34;4;1;1;49;140;0;0;1150;1600
406;1;16;5;60;31;2;1;1;45;160;0;0;1400;1850
407;1;8;2;60;36;2;1;3;75;148;2600;0;1400;1775
408;1;20;5;36;50;2;1;3;45;113;20000;0;700;1224
409;1;5;5;60;33;2;1;1;45;97;0;0;1500;1663
410;1;20;2;60;54;2;1;1;60;107;1500;0;1250;1500
411;2;5;1;60;40;2;2;1;66;206;0;0;1900;2225
412;1;1;2;60;29;2;1;1;45;275;6000;1810;1600;1930
413;1;3;2;60;31;2;1;1;45;176;4500;2500;1400;1607
414;1;2;1;36;32;2;1;1;63;175;0;0;1000;1230
415;1;3;2;24;51;2;1;1;45;223;20000;0;1400;1581
416;1;7;1;60;31;2;1;1;67;70;0;0;790;1072
417;2;9;1;36;46;2;1;1;84;87;0;0;1200;1471
418;2;1;2;60;35;2;1;3;90;42;5000;100;500;1300
419;1;14;5;60;33;1;1;1;35;60;0;0;1150;1192
420;1;6;6;48;25;1;1;1;35;300;0;0;2400;2700
421;1;0;6;36;31;2;1;1;75;144;0;0;450;500
422;2;15;1;36;43;2;1;3;75;0;15000;2000;1100;1720
423;1;2;5;48;30;2;1;1;60;180;0;0;1350;1770
424;2;1;1;48;40;2;1;4;82;69;0;0;1100;1197
425;1;12;1;60;37;2;2;1;86;110;0;0;700;950
426;2;1;5;36;22;1;2;2;35;50;0;0;425;450
427;2;0;5;60;24;1;2;2;35;86;0;0;1400;1707
428;1;11;2;36;27;2;1;1;60;172;7000;0;900;1201
