ID,Departamento,Region,Grado_Academico,Sexo,Canal_empleado,Tiempo_emtrenamiento,Edad,Calificacion_ano_anterior,Duracion_servicio,KPIs>80%,Premio_ganado,Puntuacion_Promedio,Promovido
85,Operations,region_22,Master's & above,f,sourcing,1,40,5,5,0,0,59,0
89,HR,region_16,Bachelor's,m,sourcing,1,36,4,10,1,0,48,0
90,Operations,region_11,Bachelor's,m,sourcing,1,33,4,4,1,1,63,0
91,Operations,region_26,Bachelor's,m,other,1,35,5,5,0,0,60,0
92,Sales & Marketing,region_7,Bachelor's,m,other,1,56,1,5,0,0,50,0
94,Technology,region_17,Bachelor's,m,sourcing,2,26,,1,1,0,79,0
95,Technology,region_2,Bachelor's,f,other,1,23,1,2,0,0,82,0
96,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,38,3,10,0,0,52,0
98,Technology,region_22,Master's & above,m,other,1,53,1,11,0,0,80,0
99,Analytics,region_28,Bachelor's,m,sourcing,1,30,4,3,1,0,88,0
100,Sales & Marketing,region_28,Master's & above,m,sourcing,2,34,1,6,0,0,50,0
101,Sales & Marketing,region_2,,m,other,2,23,3,2,0,0,49,0
102,Operations,region_7,Bachelor's,m,other,1,51,3,10,0,0,59,0
105,Technology,region_7,Below Secondary,m,other,2,26,3,3,0,0,81,0
106,Operations,region_22,Bachelor's,f,sourcing,1,32,1,7,0,0,56,0
107,Sales & Marketing,region_16,Master's & above,f,other,1,36,2,9,0,1,52,0
108,Analytics,region_15,Bachelor's,m,other,2,31,2,3,0,0,88,0
109,Technology,region_27,,m,sourcing,2,28,3,2,0,0,79,0
110,Operations,region_21,Bachelor's,m,sourcing,1,53,5,8,1,0,60,0
111,Sales & Marketing,region_19,Bachelor's,m,other,1,40,5,9,0,0,55,0
113,Analytics,region_22,Bachelor's,f,other,3,28,5,5,1,0,83,0
114,Technology,region_30,Bachelor's,f,other,1,31,3,5,0,0,81,0
115,Sales & Marketing,region_22,,m,sourcing,1,25,3,2,1,0,46,0
116,Technology,region_7,Master's & above,f,sourcing,1,35,5,10,0,0,83,1
119,Sales & Marketing,region_21,Bachelor's,m,other,1,44,1,7,0,0,46,0
120,Sales & Marketing,region_2,,m,sourcing,1,42,3,6,1,0,51,0
121,Sales & Marketing,region_2,Bachelor's,m,other,1,56,3,15,0,0,51,0
122,Analytics,region_32,Bachelor's,m,sourcing,1,32,5,6,1,0,84,0
124,Operations,region_22,Master's & above,f,sourcing,2,38,3,12,1,0,87,1
125,Operations,region_4,Master's & above,m,other,1,48,3,20,1,0,59,1
127,Technology,region_31,Master's & above,m,other,2,35,3,3,0,0,81,0
128,Procurement,region_28,Bachelor's,m,sourcing,3,29,3,4,0,0,68,0
129,R&D,region_2,Master's & above,m,sourcing,1,38,4,9,0,0,83,0
130,Analytics,region_34,Bachelor's,m,other,2,29,3,2,0,0,88,0
132,Sales & Marketing,region_28,Master's & above,m,other,1,45,2,14,0,0,49,0
133,Technology,region_15,Master's & above,m,other,1,46,3,6,0,0,77,0
134,Procurement,region_20,Bachelor's,m,other,1,34,5,8,1,0,87,1
135,Analytics,region_29,Bachelor's,m,other,1,26,3,2,1,0,84,0
136,Sales & Marketing,region_22,,m,other,3,28,1,2,0,0,50,0
137,Analytics,region_7,Master's & above,m,other,1,49,4,5,0,0,90,0
138,HR,region_22,Bachelor's,f,other,1,24,3,3,0,0,52,0
139,Procurement,region_9,Bachelor's,f,sourcing,1,29,3,2,0,0,70,0
142,Sales & Marketing,region_13,Bachelor's,m,other,1,43,5,5,1,0,90,1
143,Technology,region_2,Bachelor's,f,other,1,35,3,9,0,0,77,0
144,Sales & Marketing,region_2,,m,other,1,29,5,3,1,0,54,0
146,Analytics,region_2,Bachelor's,m,other,1,39,3,3,0,0,86,0
149,Analytics,region_27,Bachelor's,m,other,1,42,3,6,1,0,84,0
150,Technology,region_29,Bachelor's,m,other,1,26,4,3,1,0,80,0
151,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,56,5,24,1,0,50,0
153,Procurement,region_22,Bachelor's,m,other,2,26,3,2,0,0,67,0
155,Operations,region_31,Bachelor's,f,sourcing,1,30,5,8,1,0,64,0
156,Operations,region_22,Master's & above,f,other,1,31,3,2,1,0,62,0
157,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,32,4,10,0,0,53,0
158,Procurement,region_8,Master's & above,f,other,1,40,5,3,1,0,69,1
159,Operations,region_22,Bachelor's,f,other,1,29,1,4,1,0,61,0
160,Technology,region_2,Bachelor's,m,other,1,48,2,6,0,0,79,0
161,HR,region_22,Master's & above,f,other,1,31,,1,0,0,49,0
162,Sales & Marketing,region_28,Master's & above,f,other,3,31,1,5,1,0,49,0
163,Sales & Marketing,region_31,Bachelor's,m,other,1,41,3,6,0,0,51,0
164,Technology,region_15,Bachelor's,m,sourcing,1,36,4,9,1,0,82,0
166,Procurement,region_17,Bachelor's,m,other,1,44,4,18,0,0,73,0
167,Technology,region_2,Master's & above,m,sourcing,1,46,3,19,0,0,80,0
169,R&D,region_2,Bachelor's,m,sourcing,4,40,1,5,0,0,84,0
170,Sales & Marketing,region_31,Bachelor's,m,other,1,29,3,6,1,0,94,1
172,R&D,region_2,Bachelor's,f,other,2,34,4,8,0,0,81,0
175,Sales & Marketing,region_4,Bachelor's,m,sourcing,4,27,1,5,1,0,48,0
176,Operations,region_26,Bachelor's,m,other,1,33,5,4,1,0,58,0
177,Procurement,region_2,Below Secondary,f,sourcing,3,20,,1,0,0,72,0
180,Analytics,region_29,Bachelor's,m,sourcing,1,27,4,3,1,0,86,0
184,HR,region_26,Bachelor's,m,sourcing,1,27,3,4,0,0,50,0
185,Technology,region_11,Master's & above,m,sourcing,1,34,3,7,1,0,79,0
186,Technology,region_8,Bachelor's,m,other,1,30,3,3,0,0,79,0
187,Sales & Marketing,region_6,Bachelor's,m,other,1,59,1,14,0,0,50,0
189,Finance,region_4,Bachelor's,m,sourcing,1,28,4,5,1,0,76,1
190,Technology,region_27,Bachelor's,f,other,1,32,3,5,0,0,79,0
191,Finance,region_2,Bachelor's,m,other,1,27,,1,1,0,62,0
192,Analytics,region_2,Master's & above,m,other,1,39,5,10,1,0,85,0
193,Operations,region_7,Master's & above,f,other,1,34,5,2,1,0,59,0
195,Analytics,region_21,Bachelor's,m,sourcing,1,26,,1,1,0,83,0
196,HR,region_7,Bachelor's,f,other,1,35,3,7,0,0,46,0
197,Finance,region_12,Bachelor's,m,other,1,29,5,6,1,0,61,0
200,Technology,region_5,Master's & above,f,other,1,38,4,5,1,0,79,0
201,Technology,region_17,Bachelor's,m,sourcing,1,26,,1,0,0,80,0
202,R&D,region_25,Bachelor's,m,other,1,32,2,5,0,0,81,0
205,Analytics,region_3,Bachelor's,m,sourcing,1,29,4,4,0,0,82,0
206,Technology,region_5,Master's & above,f,other,1,37,1,3,0,0,82,0
207,Operations,region_22,Master's & above,f,other,1,56,5,17,0,0,57,0
208,Sales & Marketing,region_7,Master's & above,f,other,2,42,4,15,1,0,47,1
209,HR,region_2,Bachelor's,m,other,1,44,3,15,0,0,48,0
210,Sales & Marketing,region_16,Bachelor's,m,sourcing,1,36,2,5,0,0,48,0
211,Technology,region_20,Bachelor's,m,other,4,34,3,4,1,1,84,0
212,Analytics,region_2,Bachelor's,f,sourcing,1,32,1,5,0,0,87,0
215,Sales & Marketing,region_13,Bachelor's,f,other,1,30,1,8,0,0,52,0
216,Procurement,region_2,Bachelor's,f,other,3,33,3,7,0,0,66,0
217,Procurement,region_4,Bachelor's,f,other,3,29,,1,0,0,67,0
218,Technology,region_7,Bachelor's,m,sourcing,1,32,5,6,1,0,83,0
219,Operations,region_15,Bachelor's,m,other,1,41,4,6,1,0,52,0
220,Procurement,region_26,Master's & above,m,other,1,52,5,9,1,0,68,0
221,Operations,region_20,Bachelor's,f,other,1,26,4,3,0,0,61,0
222,Procurement,region_13,Master's & above,m,other,1,34,4,5,0,0,71,0
223,Sales & Marketing,region_13,Master's & above,m,other,1,54,1,7,0,0,50,0
225,Operations,region_7,Bachelor's,f,sourcing,1,27,3,4,0,0,65,0
229,Technology,region_24,Master's & above,m,other,1,38,1,7,0,0,81,0
231,Technology,region_2,Master's & above,m,sourcing,1,42,1,7,0,0,78,0
233,Operations,region_22,Bachelor's,m,other,1,33,5,5,1,0,62,0
234,Legal,region_11,Bachelor's,m,sourcing,1,37,4,10,0,0,56,0
235,Procurement,region_13,Master's & above,m,other,1,41,1,12,0,0,70,0
236,Operations,region_31,Master's & above,m,sourcing,2,38,3,8,0,0,77,1
238,Operations,region_22,Bachelor's,m,other,3,29,3,3,0,0,56,0
239,Procurement,region_22,Bachelor's,f,sourcing,2,24,,1,1,0,69,0
240,Procurement,region_2,Master's & above,f,other,3,51,5,11,0,0,67,0
241,Operations,region_14,Bachelor's,f,other,1,33,5,6,0,0,57,0
242,Technology,region_2,Master's & above,f,other,1,36,3,3,0,0,76,0
243,Sales & Marketing,region_13,Bachelor's,m,other,2,33,2,5,0,0,50,0
244,Operations,region_2,Bachelor's,m,sourcing,1,50,3,25,0,0,61,0
245,Sales & Marketing,region_4,Master's & above,m,sourcing,1,44,5,17,1,0,48,0
246,Sales & Marketing,region_7,Master's & above,m,other,1,34,3,6,0,0,50,0
247,HR,region_2,Master's & above,f,other,1,45,3,4,0,0,46,0
248,Operations,region_10,Bachelor's,f,sourcing,2,33,3,7,0,0,60,0
249,Legal,region_2,Bachelor's,m,sourcing,1,31,2,3,0,0,57,0
252,Analytics,region_22,Bachelor's,m,other,1,29,5,3,1,0,89,0
253,Sales & Marketing,region_28,Master's & above,m,other,1,32,4,6,1,0,52,1
254,Operations,region_23,Bachelor's,m,sourcing,2,34,3,10,0,0,57,0
255,Technology,region_8,Master's & above,f,sourcing,1,30,3,6,0,0,78,0
256,Operations,region_16,Master's & above,m,sourcing,1,34,3,6,0,0,57,0
257,Analytics,region_11,Master's & above,m,sourcing,1,33,1,8,0,0,86,0
260,Operations,region_11,Master's & above,m,other,1,48,4,16,0,0,56,0
262,Sales & Marketing,region_27,Bachelor's,f,sourcing,1,34,1,7,0,0,43,0
263,Technology,region_14,Bachelor's,m,other,1,48,3,11,0,0,76,0
264,Operations,region_2,Master's & above,m,other,1,40,5,3,1,0,62,0
265,Procurement,region_2,Master's & above,f,other,1,58,4,26,0,0,71,0
266,Procurement,region_7,Bachelor's,m,sourcing,1,36,3,7,1,0,71,0
268,Operations,region_28,Bachelor's,m,other,1,34,5,7,1,0,55,0
270,R&D,region_2,Bachelor's,m,other,1,39,5,6,1,0,83,0
271,Procurement,region_2,Below Secondary,f,other,1,25,5,2,1,0,69,1
272,Technology,region_7,Bachelor's,f,sourcing,1,29,5,2,1,0,82,1
273,Operations,region_26,Bachelor's,f,sourcing,1,33,4,2,1,0,64,0
274,Sales & Marketing,region_10,Master's & above,f,sourcing,1,40,3,7,0,0,50,0
275,Technology,region_2,Bachelor's,f,other,1,43,1,6,0,0,81,0
276,Sales & Marketing,region_22,,m,sourcing,4,28,3,7,0,0,46,0
278,Analytics,region_13,Master's & above,m,sourcing,1,30,5,3,1,0,86,0
279,Operations,region_32,Bachelor's,f,sourcing,1,34,5,4,1,0,56,0
280,Sales & Marketing,region_29,Master's & above,f,other,2,33,1,3,1,0,58,0
283,Procurement,region_15,Master's & above,f,other,1,30,3,5,0,0,82,1
284,Sales & Marketing,region_2,Master's & above,f,other,4,57,1,6,0,0,50,0
286,Sales & Marketing,region_15,Master's & above,m,other,1,43,1,13,0,0,46,0
287,Sales & Marketing,region_22,,m,sourcing,1,22,,1,0,0,62,1
288,Legal,region_22,Bachelor's,m,sourcing,1,30,4,3,0,0,62,0
290,Sales & Marketing,region_23,Bachelor's,m,other,4,31,1,4,0,0,54,0
291,Operations,region_22,Below Secondary,m,sourcing,1,26,5,4,0,0,64,0
292,Procurement,region_2,Bachelor's,m,sourcing,1,39,1,11,0,0,67,0
293,Sales & Marketing,region_31,Master's & above,m,sourcing,1,37,3,6,1,0,51,0
294,Technology,region_33,Bachelor's,m,other,1,31,1,5,0,0,78,0
296,Procurement,region_2,Below Secondary,m,other,1,26,4,2,1,0,68,0
297,Sales & Marketing,region_7,Bachelor's,m,other,1,27,2,2,0,0,50,0
298,Finance,region_30,Bachelor's,f,sourcing,1,28,5,4,1,1,96,1
299,Sales & Marketing,region_26,,m,other,1,31,3,4,1,0,49,0
300,Procurement,region_2,Master's & above,m,sourcing,1,47,1,12,0,0,73,0
301,Sales & Marketing,region_29,Bachelor's,m,sourcing,1,43,4,14,0,0,53,0
303,Procurement,region_2,Master's & above,m,sourcing,1,33,1,6,0,0,71,0
304,Sales & Marketing,region_22,Bachelor's,f,sourcing,1,32,3,8,0,0,50,0
305,Operations,region_15,Bachelor's,m,other,1,44,2,15,0,0,59,0
306,Procurement,region_24,Bachelor's,m,sourcing,1,29,3,3,1,0,68,0
308,Operations,region_19,Bachelor's,m,sourcing,2,32,1,3,0,0,60,0
309,Technology,region_20,Master's & above,m,other,1,42,3,5,0,0,79,0
310,Finance,region_2,Bachelor's,m,sourcing,1,47,1,19,0,0,62,0
311,Sales & Marketing,region_2,Bachelor's,m,other,5,28,1,5,0,0,51,0
312,Sales & Marketing,region_23,Bachelor's,m,sourcing,1,35,3,9,1,0,45,1
315,HR,region_2,Bachelor's,m,other,1,49,3,6,0,1,62,1
316,Analytics,region_29,Bachelor's,m,other,1,31,,1,1,1,94,1
317,Sales & Marketing,region_4,Master's & above,m,other,2,43,3,12,1,0,47,1
318,Operations,region_26,Bachelor's,m,sourcing,1,29,4,2,0,0,61,0
319,Sales & Marketing,region_28,Bachelor's,m,other,1,30,3,2,1,0,45,1
320,Operations,region_3,Bachelor's,m,other,1,30,5,6,1,0,56,0
321,Operations,region_28,Master's & above,m,other,1,36,3,5,0,0,58,0
322,Sales & Marketing,region_20,Bachelor's,m,other,1,34,3,8,0,0,46,0
324,Finance,region_7,Bachelor's,m,other,2,26,3,2,1,0,59,0
325,HR,region_2,Bachelor's,m,sourcing,1,29,,1,0,0,51,0
326,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,42,5,12,1,0,52,0
327,Procurement,region_16,Master's & above,m,other,1,33,4,6,0,0,67,0
328,Sales & Marketing,region_7,,m,other,1,27,5,2,1,0,51,0
329,Sales & Marketing,region_23,Master's & above,m,other,4,37,3,7,0,0,52,0
331,HR,region_25,Bachelor's,m,sourcing,2,28,4,5,0,0,49,0
333,Finance,region_22,Master's & above,m,other,1,32,3,8,0,0,58,0
334,Procurement,region_23,Bachelor's,f,sourcing,1,29,,1,0,0,70,0
335,Sales & Marketing,region_22,,m,sourcing,1,27,,1,0,0,42,0
340,Operations,region_32,Bachelor's,m,other,2,31,5,6,1,0,63,0
344,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,46,1,17,0,0,51,0
345,Operations,region_22,Bachelor's,f,other,1,51,4,16,0,0,55,0
346,Sales & Marketing,region_27,Bachelor's,m,other,1,39,5,10,0,0,51,0
347,Operations,region_16,Bachelor's,f,other,1,36,2,7,1,0,60,0
348,Technology,region_17,Bachelor's,f,sourcing,1,38,4,7,0,0,81,0
349,Legal,region_4,Bachelor's,m,other,1,30,5,4,1,0,59,0
350,Operations,region_2,Bachelor's,m,other,2,34,5,2,0,0,58,0
351,R&D,region_7,Master's & above,m,sourcing,2,41,3,2,0,0,82,0
352,Technology,region_2,Bachelor's,m,referred,1,29,3,2,1,0,83,0
353,Sales & Marketing,region_19,Bachelor's,m,sourcing,4,34,3,2,0,0,48,0
354,Operations,region_22,Bachelor's,m,other,1,32,2,5,1,0,62,0
357,Technology,region_2,Bachelor's,f,other,1,52,3,12,0,0,81,0
358,Technology,region_22,Bachelor's,m,other,1,26,3,3,0,0,80,0
359,Procurement,region_20,Master's & above,f,other,1,34,3,7,0,0,70,0
360,Sales & Marketing,region_25,Master's & above,m,sourcing,1,34,4,5,1,0,51,0
361,Sales & Marketing,region_1,Bachelor's,m,other,1,29,4,5,0,0,50,0
362,Finance,region_7,Bachelor's,m,other,1,33,5,6,1,0,57,0
363,Operations,region_15,Bachelor's,m,sourcing,1,33,4,6,1,0,63,0
365,HR,region_2,Bachelor's,f,sourcing,1,32,5,9,1,0,51,1
367,Sales & Marketing,region_31,Bachelor's,m,sourcing,1,35,5,8,0,0,56,0
369,Technology,region_31,Bachelor's,m,other,2,29,3,2,0,0,79,0
370,Finance,region_7,Bachelor's,m,other,1,36,3,5,1,0,62,0
371,Technology,region_31,Bachelor's,m,sourcing,2,25,3,2,0,0,80,0
372,Sales & Marketing,region_34,Bachelor's,m,sourcing,2,25,,1,0,0,53,0
378,Sales & Marketing,region_7,Master's & above,m,other,1,40,4,4,0,0,49,0
379,Sales & Marketing,region_28,Master's & above,f,sourcing,1,31,5,5,1,0,51,0
380,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,31,4,2,0,0,48,0
381,Operations,region_2,Master's & above,m,other,1,55,4,18,0,1,54,0
382,Sales & Marketing,region_16,Master's & above,m,sourcing,1,45,1,14,0,0,45,0
383,R&D,region_26,Bachelor's,m,referred,1,30,4,3,0,0,83,0
385,Procurement,region_22,Bachelor's,m,other,1,29,4,4,1,0,66,0
386,Sales & Marketing,region_2,,m,other,1,36,5,7,0,0,51,0
387,Sales & Marketing,region_27,Bachelor's,m,other,1,32,5,5,0,0,45,0
388,Sales & Marketing,region_2,Bachelor's,m,other,2,24,3,3,0,0,53,0
390,Operations,region_22,Bachelor's,f,sourcing,1,25,3,2,0,0,60,0
391,Operations,region_4,Master's & above,f,other,2,42,3,5,0,0,66,0
392,Procurement,region_2,Master's & above,f,sourcing,1,47,3,4,1,0,73,0
393,Analytics,region_7,Bachelor's,m,other,3,27,,1,1,0,84,0
394,HR,region_7,Bachelor's,m,other,1,40,4,5,0,0,53,0
396,Procurement,region_4,Master's & above,f,other,1,34,4,7,0,0,70,0
397,Procurement,region_2,Master's & above,f,other,1,36,4,8,0,0,74,0
398,Sales & Marketing,region_19,Bachelor's,f,sourcing,1,34,3,9,0,0,48,0
399,Sales & Marketing,region_4,Master's & above,f,other,1,34,3,5,0,0,65,1
402,Operations,region_16,Bachelor's,f,other,1,35,3,5,1,0,57,1
404,Operations,region_15,Bachelor's,m,referred,1,36,4,7,1,0,58,0
406,Sales & Marketing,region_2,Master's & above,m,other,1,58,3,6,0,0,97,1
407,Technology,region_2,Bachelor's,f,other,1,59,3,16,1,0,80,0
409,Sales & Marketing,region_6,Bachelor's,m,other,1,32,3,5,1,0,51,0
413,Sales & Marketing,region_2,Master's & above,m,sourcing,2,46,2,12,0,0,48,0
414,HR,region_2,Master's & above,f,referred,1,37,5,4,1,0,47,0
416,Operations,region_16,Bachelor's,m,other,2,31,4,5,1,0,63,0
417,Procurement,region_12,Bachelor's,f,sourcing,1,31,5,5,0,0,71,0
418,Technology,region_2,Bachelor's,m,other,2,34,2,2,1,0,76,0
419,Technology,region_26,Master's & above,f,sourcing,2,43,1,12,0,0,80,0
420,Analytics,region_25,Bachelor's,m,other,2,32,5,2,1,0,88,0
421,Operations,region_15,Bachelor's,f,sourcing,1,31,4,5,0,0,58,0
422,Technology,region_26,Master's & above,f,other,4,33,4,7,1,0,82,0
423,Sales & Marketing,region_22,,m,other,1,29,4,5,0,0,51,0
425,Procurement,region_33,Bachelor's,f,sourcing,1,32,2,5,0,0,67,0
427,Procurement,region_15,Bachelor's,f,sourcing,2,33,4,8,0,0,71,0
428,Procurement,region_2,Master's & above,f,sourcing,1,48,1,19,0,0,72,0
431,Procurement,region_2,Bachelor's,m,other,3,60,3,16,0,0,68,0
432,Sales & Marketing,region_26,Bachelor's,f,other,1,30,3,6,0,0,48,0
433,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,36,5,4,0,0,49,0
436,Sales & Marketing,region_32,Bachelor's,m,other,1,35,4,2,1,0,48,0
438,Sales & Marketing,region_31,Master's & above,m,other,3,33,3,6,0,0,50,0
439,Procurement,region_15,Master's & above,f,other,4,32,3,8,0,0,70,0
440,Technology,region_7,Bachelor's,f,sourcing,1,43,5,12,1,0,80,0
442,Sales & Marketing,region_7,Master's & above,m,other,1,42,5,16,0,1,98,1
443,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,36,2,9,0,0,47,0
444,Sales & Marketing,region_22,Bachelor's,m,referred,1,27,1,5,1,0,50,0
445,Procurement,region_27,Bachelor's,f,sourcing,1,33,1,8,0,0,74,0
448,Sales & Marketing,region_28,Master's & above,f,other,2,33,3,7,0,0,49,0
449,Technology,region_7,Bachelor's,m,other,1,34,4,7,1,0,78,1
450,Sales & Marketing,region_14,Master's & above,m,sourcing,2,42,1,7,1,0,50,0
451,Analytics,region_13,Bachelor's,m,sourcing,1,30,3,5,0,0,85,0
452,Operations,region_16,Master's & above,m,sourcing,1,48,3,18,0,0,64,0
453,Procurement,region_23,Bachelor's,f,other,1,28,5,2,1,0,69,1
454,Operations,region_11,Bachelor's,m,other,1,30,5,6,1,0,58,0
455,Operations,region_15,Bachelor's,f,sourcing,1,33,3,10,0,0,69,1
456,Operations,region_2,Bachelor's,f,sourcing,1,49,5,9,1,0,60,0
458,Sales & Marketing,region_2,Master's & above,f,other,2,50,1,17,0,0,48,0
461,Procurement,region_2,Master's & above,f,sourcing,1,34,3,7,0,0,70,0
462,Technology,region_19,Bachelor's,m,other,1,44,1,11,0,0,78,0
463,Sales & Marketing,region_20,Master's & above,m,sourcing,1,32,5,3,1,0,50,0
464,Sales & Marketing,region_2,Bachelor's,m,referred,1,28,4,4,1,0,45,0
465,Legal,region_13,Master's & above,m,sourcing,1,36,3,4,0,0,66,0
466,Operations,region_22,Bachelor's,f,sourcing,1,23,3,2,0,0,61,0
468,Operations,region_2,Below Secondary,m,other,1,24,3,2,0,0,60,0
469,Technology,region_2,Bachelor's,f,sourcing,1,57,3,19,0,0,81,0
471,Operations,region_4,Bachelor's,m,sourcing,1,29,4,2,1,0,57,0
473,Analytics,region_9,Bachelor's,m,sourcing,1,28,3,2,0,0,88,0
474,Sales & Marketing,region_22,Bachelor's,m,other,1,36,5,7,1,0,52,1
475,Sales & Marketing,region_26,Bachelor's,m,other,1,40,5,11,0,0,51,0
476,Analytics,region_1,Master's & above,m,sourcing,1,35,5,9,1,0,84,1
477,Operations,region_1,Bachelor's,f,other,2,29,5,5,1,0,56,0
478,Analytics,region_2,Bachelor's,m,sourcing,1,46,5,6,1,0,88,0
480,Legal,region_7,Bachelor's,m,other,1,35,3,5,0,0,61,0
482,Analytics,region_31,Bachelor's,m,sourcing,1,34,3,6,0,0,82,0
483,Sales & Marketing,region_27,Master's & above,f,other,1,36,1,7,0,0,54,0
484,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,38,5,6,0,0,46,0
485,Sales & Marketing,region_8,Bachelor's,m,sourcing,1,33,1,6,0,0,48,0
486,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,34,1,7,0,0,51,0
488,HR,region_15,Bachelor's,m,other,1,33,3,10,0,0,53,0
489,Operations,region_26,Master's & above,f,sourcing,1,42,5,3,0,0,77,1
492,Procurement,region_2,Master's & above,f,sourcing,1,36,4,5,1,0,62,0
494,Sales & Marketing,region_4,Bachelor's,m,other,1,34,3,5,0,0,48,0
495,Sales & Marketing,region_27,Bachelor's,m,other,1,40,2,10,0,0,49,0
496,Operations,region_27,Bachelor's,f,other,1,40,5,3,1,0,57,0
498,Analytics,region_25,Bachelor's,m,other,1,31,3,7,1,0,87,0
499,Sales & Marketing,region_2,Master's & above,f,other,1,54,4,24,0,0,54,0
500,Sales & Marketing,region_2,,m,sourcing,1,20,,1,0,0,53,0
502,Procurement,region_2,Master's & above,f,sourcing,2,33,3,6,0,0,71,0
